typecode,cr_fl
A124,320
A148,330
A20N,370
A21N,350
A306,320
A30B,320
A310,340
A318,380
A319,380
A320,360
A321,350
A332,370
A333,370
A339,370
A343,330
A346,350
A359,400
A35K,380
A388,370
A3ST,300
AC90,250
AEST,110
AJ27,290
AN24,190
AT43,190
AT45,210
AT46,200
AT72,190
AT75,180
AT76,160
ATP,180
B190,210
B350,260
B462,270
B463,270
B58T,190
B712,330
B722,320
B732,320
B733,340
B734,330
B735,350
B736,380
B737,390
B738,370
B739,350
B744,330
B748,330
B752,370
B753,330
B762,370
B763,350
B764,300
B772,370
B773,340
B77L,330
B77W,300
B788,400
B789,370
B78X,360
BCS1,370
BCS3,280
BE10,105
BE20,250
BE30,270
BE33,100
BE35,105
BE36,110
BE55,105
BE58,105
BE99,140
BE9L,210
BE9T,210
BLCF,340
BT36,110
C130,270
C172,100
C182,105
C208,110
C240,110
C25A,400
C310,105
C340,150
C402,110
C414,120
C421,190
C425,250
C441,270
C510,340
C55B,380
C56X,400
C750,410
CL60,390
COL4,115
CRJ1,320
CRJ2,320
CRJ7,360
CRJ9,340
CRJX,330
CVLT,230
D228,120
D328,230
DA42,110
DC10,350
DC93,350
DH8A,240
DH8B,240
DH8C,200
DH8D,240
DHC6,120
E120,210
E135,360
E145,360
E170,340
E190,360
E195,350
E290,380
E295,380
E45X,320
E50P,380
E55P,430
E75L,350
E75S,350
EPIC,270
F100,330
F2TH,410
F50,210
F70,340
FA20,360
GA5C,430
GLF4,400
GLF5,400
HDJT,410
J328,300
JS32,160
JS41,200
L410,110
LJ35,400
LJ45,410
M20P,105
M20T,110
M600,270
MD11,370
MD82,320
MD83,320
MD88,330
MD90,310
MU2,200
P180,310
P210,120
P32R,100
P46T,270
PA31,100
PA34,110
PA46,210
PAY1,190
PAY2,230
PAY3,250
PC12,200
PC24,410
RJ1H,260
RJ85,270
S22T,110
SB20,270
SF34,190
SF50,310
SR22,110
SU95,340
SW3,210
SW4,160
T204,330
T206,105
T210,105
TBM7,270
TBM8,270
TBM9,310
WW24,350
YK42,280
