original,new
128,H25B
321,A321
333,A333
735,B735
737,B738
738,B738
1900,B190
172N,C172
172P,C172
172S,C172
210L,C210
32N,A20N
32Q,A21N
402B,C402
680 Citation Latitude,C68A
73H,B738
A319-111,A319
A319-115(CJ),A319
A320-200,A320
A320-214,A320
A320-271N,A20N
A32N,A20N
A330,A333
A330-200,A332
A350,A35K
A400M,A400
A609,B609
Airbus A320-214 (SL),A320
AN74,A743
ASSO,ASO4
AT01,A210
AT7,AT76
ATR45,AT45
AW119,A119
B138,B738
B200,BE20
B737-7D6C,B737
B767,B763
B777F,B77L
B77F,B77L
B781,B78X
B783,B738
BACE,ULAC
BD-100-1A10 Challenger 350,CL35
BD-700-1A11 Global 5000,GL5T
BD-700-1A11 Global Express,GLEX
BK117,EC45
C172N,C172
C172S,C172
C182S,C182
C2GA,G2CA
C30J-30 Hercules,C30J
C42B,C42
C5,C5M
CL4T,CL2T
CL61,CL60
CL64,CL60
CL65,CL60
CL85,CRJ2
CNJ,C56X
CRJ-1000,CRJX
D2SL,SLG2
D6SL,SLG4
D9,ULAC
DA40 D,DA40
DG30,GLID
DHC8,DH8D
E140,E135
E175,E75L
E4,B742
E8,B703
EA-300,E300
EA55,EA50
EN18,UHEL
F18,F18S
F2DX,F2TH
F2EX,F2TH
F2LX,F2TH
F2TS,F2TH
F5EX,FA50
F9DX,F900
F9EX,F900
F9LX,F900
Falcom 2000EX,F2TH
Falcom 2000LX,F2TH
Falcon 7X,FA7X
Falcon 8X,FA8X
G100,ASTR
G102,GLID
G104,GLID
G350,GLF4
G400,GLF4
G450,GLF4
G500,GLF5
G550,GLF5
G6,G3
G600,GA6C
G650,GLF6
G650ER,GLF6
GL6T,GLEX
G-V,GLF5
H145,EC35
H60 ,H60
H750,H25B
H900,H25B
JT1,J1
K35T,K35R
KA32,KA27
KC10,DC10
KC39,E390
Learjet 40,LJ40
Light,ULAC
LJ36,LJ35
LM1,KM2
LOON,BALL
M171,MI8
M172,MI8
M20E,M20P
MH90,NH90
MI17,MI8
MT03,MT
N126,COLT
NG6,ULAC
P2006T,P06T
P206,P06T
PA28,P28A
PA28A,P28A
PA28R,P28T
pa31,PA31
PA39,PA30
PA-44,PA44
PA46 ,PA46
RC-12X,BE20
RV7V,RV7
T182,C82S
T214,T204
T6A,TEX2
TMB9,TBM9
TRIN,TB20
TV7,RV7
UAV,ZZZZ
UNDEFINED,ZZZZ
WT10,ULAC
