iata,natsgrp,approach,landing,reverse,reverse_setting,taxiin,taxiout,hold,takeoff,initialclimb,climbout,apu_arr,apu_dep
LCY,-1,390,0,0,0.07,120,120,0,0,0,0,1050,1804
LCY,1,286,70,30,0.3,120,120,0,44.6,57,77.6,1050,1804
LCY,2,286,70,30,0.3,120,120,0,32.6,41.7,57.7,1050,1804
LCY,3,286,70,30,0.85,120,120,0,38.1,85,120,1050,1804
LCY,4,286,60,15,0.3,120,120,0,28.7,33,48.5,1050,1804
LCY,5,286,60,15,0.3,120,120,0,29.5,38,61.1,1050,1804
LCY,6,286,60,15,0.3,120,120,0,29.5,38,61.1,1050,1804
LCY,7,286,60,0,0.07,120,120,0,29.5,38,61.1,1050,1804
LCY,8,286,60,0,0.07,120,120,0,26.3,50,80,1050,1804
LCY,9,312,60,0,0.07,120,120,0,28,90,120,1050,1804
LCY,10,312,60,0,0.07,120,120,0,28,90,120,1050,1804
LCY,11,312,60,0,0.07,120,120,0,28,90,120,1050,1804
LCY,12,312,60,0,0.07,120,120,0,28,90,120,1050,1804
LGW,-1,390,0,0,0.07,375.93,0,0,0,0,0,900,1886.88
LGW,1,286,70.38,30,0.3,491.48,872.31,338.11,44.6,57,77.6,1200,4306.64
LGW,2,286,68.81,30,0.3,479.46,659.98,273.37,32.6,41.7,57.7,1200,3750.22
LGW,3,286,70.64,30,0.85,502.32,273.85,88.99,38.1,85,120,900,4500
LGW,4,286,65.84,15,0.3,485.32,556.31,270.48,28.7,33,48.5,900,4404.59
LGW,5,286,59.14,15,0.3,483.66,617.34,256.49,29.5,38,61.1,900,3610.67
LGW,6,286,53.49,15,0.3,491.59,570.96,344.32,29.5,38,61.1,900,2057.71
LGW,7,286,53.03,0,0.07,493.57,673.47,342.57,29.5,38,61.1,900,3824.9
LGW,8,286,56.89,0,0.07,471.08,551.2,320.09,26.3,50,80,900,1741.43
LGW,9,312,56.06,0,0.07,417.38,400.88,331.57,28,90,120,900,3679.26
LGW,10,312,56.3,0,0.07,411.28,363.92,302.25,28,90,120,900,3529.16
LGW,11,312,56.12,0,0.07,508.42,673.71,331.13,28,90,120,900,3446.43
LGW,12,312,56.07,0,0.07,483.69,602.71,335.53,28,90,120,900,1856.68
LHR,-1,390,0,0,0.07,667.27,849.23,344.31,0,0,0,900,1800
LHR,1,286,61,30,0.3,525.95,834.75,324.39,44.6,57,77.6,1200,4948.88
LHR,2,286,55.21,30,0.3,452.63,789.54,341.8,32.6,41.7,57.7,1200,4958.27
LHR,3,286,64,30,0.85,710.35,733.61,342.01,38.1,85,120,900,1800
LHR,4,286,49.29,15,0.3,424.17,702.48,356.35,28.7,33,48.5,900,1800
LHR,5,286,46.41,15,0.3,371.08,780.23,341.2,29.5,38,61.1,900,1800
LHR,6,286,49.65,15,0.3,494.86,868.08,340.94,29.5,38,61.1,900,1800
LHR,7,286,49.65,0,0.07,401.58,690.28,342.64,29.5,38,61.1,900,1800
LHR,8,286,35,0,0.07,766.96,762.81,341.94,26.3,50,80,900,1800
LHR,9,312,45.99,0,0.07,637.63,837.26,340.93,28,90,120,900,1800
LHR,10,312,45.66,0,0.07,660.36,818.75,342.98,28,90,120,900,1800
LHR,11,312,54.48,0,0.07,707.45,765.76,330.36,28,90,120,900,1800
LHR,12,312,64,0,0.07,616.02,832.92,340.07,28,90,120,900,1800
LTN,-1,390,0,0,0.07,216,216,0,0,0,0,1050,1804
LTN,1,286,70,30,0.3,216,216,0,44.6,57,77.6,1050,1804
LTN,2,286,70,30,0.3,216,216,0,32.6,41.7,57.7,1050,1804
LTN,3,286,70,30,0.85,216,216,0,38.1,85,120,1050,1804
LTN,4,286,60,15,0.3,216,216,0,28.7,33,48.5,1050,1804
LTN,5,286,60,15,0.3,216,216,0,29.5,38,61.1,1050,1804
LTN,6,286,60,15,0.3,216,216,0,29.5,38,61.1,1050,1804
LTN,7,286,60,0,0.07,216,216,0,29.5,38,61.1,1050,1804
LTN,8,286,60,0,0.07,216,216,0,26.3,50,80,1050,1804
LTN,9,312,60,0,0.07,216,216,0,28,90,120,1050,1804
LTN,10,312,60,0,0.07,216,216,0,28,90,120,1050,1804
LTN,11,312,60,0,0.07,216,216,0,28,90,120,1050,1804
LTN,12,312,60,0,0.07,216,216,0,28,90,120,1050,1804
STN,-1,390,0,0,0.07,359.01,440.32,268,0,0,0,1050,1804.2
STN,1,286,94.12,30,0.3,359.01,440.32,268,44.6,57,77.6,1050,1804.2
STN,2,286,82.63,30,0.3,359.01,440.32,268,32.6,41.7,57.7,1050,1804.2
STN,3,286,82.63,30,0.85,359.01,440.32,268,38.1,85,120,1050,1804.2
STN,4,286,80.54,15,0.3,359.01,440.32,268,28.7,33,48.5,1050,1804.2
STN,5,286,53.23,15,0.3,359.01,440.32,268,29.5,38,61.1,1050,1804.2
STN,6,286,50.78,15,0.3,359.01,440.32,268,29.5,38,61.1,1050,1804.2
STN,7,286,53.38,0,0.07,359.01,440.32,268,29.5,38,61.1,1050,1804.2
STN,8,286,49.58,0,0.07,359.01,440.32,268,26.3,50,80,1050,1804.2
STN,9,312,69.77,0,0.07,359.01,440.32,268,28,90,120,1050,1804.2
STN,10,312,47.05,0,0.07,359.01,440.32,268,28,90,120,1050,1804.2
STN,11,312,47.05,0,0.07,359.01,440.32,268,28,90,120,1050,1804.2
STN,12,312,47.05,0,0.07,359.01,440.32,268,28,90,120,1050,1804.2
